policy,budget,context_length,depth,count,score_mean,ci_low,ci_high,oom_rate,error_rate,peak_vram_gib,cache_gib,compression,prefill_s,compress_s,decode_tps
h2o,1024,2048,0.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,2.942,0.1406,0.4942,1.978,0.007,12.99
h2o,1024,2048,,20,0.3375,0.1875,0.5083,0.0000,0.0000,2.936,0.1406,0.4824,1.905,0.007,12.84
h2o,1024,4096,0.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,3.117,0.1406,0.7496,4.922,0.015,13.16
h2o,1024,4096,,20,0.1125,0.0250,0.2375,0.0000,0.0000,3.107,0.1406,0.7462,4.856,0.015,12.80
h2o,1024,8192,0.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,3.120,0.1406,0.8746,10.788,0.029,12.96
h2o,1024,8192,,20,0.0667,0.0000,0.1417,0.0000,0.0000,3.120,0.1406,0.8739,10.698,0.030,12.80
h2o,256,2048,0.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,2.942,0.0352,0.8735,2.684,0.048,11.90
h2o,256,2048,,20,0.1250,0.0458,0.2208,0.0000,0.0000,2.936,0.0352,0.8706,1.906,0.007,12.66
h2o,256,4096,0.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,3.000,0.0352,0.9374,4.405,0.016,12.94
h2o,256,4096,,20,0.0250,0.0000,0.0750,0.0000,0.0000,2.990,0.0352,0.9365,4.332,0.015,12.84
h2o,256,8192,0.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,3.002,0.0352,0.9687,9.204,0.031,12.34
h2o,256,8192,,20,0.0833,0.0000,0.1875,0.0000,0.0000,3.002,0.0352,0.9685,9.126,0.030,12.73
