policy,budget,task,count,score_mean,ci_low,ci_high,oom_rate,error_rate,peak_vram_gib,cache_gib,compression,prefill_s,compress_s,decode_tps
h2o,1024,cwe,12,0.1111,0.0278,0.1944,0.0000,0.0000,3.052,0.1406,0.6993,5.801,0.017,12.40
h2o,1024,niah_multikey_1,12,0.3333,0.0833,0.5833,0.0000,0.0000,3.059,0.1406,0.7058,5.910,0.018,13.04
h2o,1024,niah_multivalue,12,0.1042,0.0417,0.1667,0.0000,0.0000,3.060,0.1406,0.7067,5.935,0.018,12.96
h2o,1024,niah_single_1,12,0.0000,0.0000,0.0000,0.0000,0.0000,3.060,0.1406,0.7061,5.896,0.017,13.04
h2o,1024,niah_single_2,12,0.0833,0.0000,0.2500,0.0000,0.0000,3.060,0.1406,0.7061,5.870,0.018,12.79
h2o,1024,vt,12,0.2292,0.0833,0.3750,0.0000,0.0000,3.040,0.1406,0.6862,5.582,0.017,12.88
h2o,256,cwe,12,0.1389,0.0278,0.2778,0.0000,0.0000,2.975,0.0352,0.9248,5.077,0.017,12.93
h2o,256,niah_multikey_1,12,0.0000,0.0000,0.0000,0.0000,0.0000,2.981,0.0352,0.9265,5.224,0.017,12.78
h2o,256,niah_multivalue,12,0.0000,0.0000,0.0000,0.0000,0.0000,2.982,0.0352,0.9267,5.233,0.019,12.41
h2o,256,niah_single_1,12,0.0000,0.0000,0.0000,0.0000,0.0000,2.981,0.0352,0.9265,5.431,0.031,12.39
h2o,256,niah_single_2,12,0.0000,0.0000,0.0000,0.0000,0.0000,2.981,0.0352,0.9265,5.177,0.017,12.66
h2o,256,vt,12,0.2500,0.1042,0.4167,0.0000,0.0000,2.961,0.0352,0.9216,4.895,0.017,12.92
