policy,budget,context_length,depth,count,score_mean,ci_low,ci_high,oom_rate,error_rate,peak_vram_gib,cache_gib,compression,prefill_s,compress_s,decode_tps
full,-1,16384,0.5,4,0.2500,0.0000,0.7500,0.7500,0.2500,5.202,2.2492,0.0000,75.515,0.001,0.76
full,-1,16384,,20,0.0000,0.0000,0.0000,0.9500,0.0500,5.186,2.2389,0.0000,58.956,0.001,1.42
full,-1,2048,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,2.940,0.2780,0.0000,1.846,0.000,5.49
full,-1,2048,,20,0.6375,0.4708,0.7958,0.0000,0.0000,2.934,0.2720,0.0000,4.477,0.000,8.09
full,-1,32768,0.5,4,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,32768,,20,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,4096,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.232,0.5615,0.0000,2.477,0.000,6.43
full,-1,4096,,20,0.5875,0.4000,0.7625,0.0000,0.0000,3.224,0.5542,0.0000,2.637,0.000,8.26
full,-1,8192,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.864,1.1218,0.0000,6.026,0.001,6.78
full,-1,8192,,20,0.5750,0.3875,0.7625,0.0000,0.0000,3.860,1.1156,0.0000,6.061,0.000,6.92
pyramidkv,1024,16384,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9375,10.108,0.151,6.40
pyramidkv,1024,16384,,20,0.6292,0.4625,0.7875,0.0000,0.0000,3.103,0.1406,0.9373,10.320,0.244,7.53
pyramidkv,1024,2048,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,2.942,0.1406,0.4942,1.032,0.033,5.96
pyramidkv,1024,2048,,20,0.6625,0.5083,0.8083,0.0000,0.0000,2.937,0.1406,0.4824,1.045,0.018,7.02
pyramidkv,1024,32768,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9687,20.912,0.375,5.71
pyramidkv,1024,32768,,20,0.6125,0.4125,0.7875,0.0000,0.0000,3.103,0.1406,0.9687,20.946,0.379,6.38
pyramidkv,1024,4096,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.098,0.1406,0.7496,2.321,0.039,6.36
pyramidkv,1024,4096,,20,0.5833,0.3917,0.7667,0.0000,0.0000,3.087,0.1406,0.7462,2.383,0.047,8.79
pyramidkv,1024,8192,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.8746,4.890,0.076,6.32
pyramidkv,1024,8192,,20,0.6833,0.5292,0.8250,0.0000,0.0000,3.103,0.1406,0.8739,5.084,0.134,8.87
pyramidkv,256,16384,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,2.994,0.0352,0.9844,9.948,0.355,10.65
pyramidkv,256,16384,,20,0.5417,0.3583,0.7167,0.0000,0.0000,2.994,0.0352,0.9843,9.605,0.228,8.06
pyramidkv,256,2048,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,2.942,0.0352,0.8735,1.088,0.011,11.14
pyramidkv,256,2048,,20,0.5917,0.4167,0.7625,0.0000,0.0000,2.937,0.0352,0.8706,1.036,0.017,8.10
pyramidkv,256,32768,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,2.994,0.0352,0.9922,20.010,0.699,11.66
pyramidkv,256,32768,,20,0.4375,0.2500,0.6375,0.0000,0.0000,2.994,0.0352,0.9922,19.253,0.440,7.67
pyramidkv,256,4096,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,2.991,0.0352,0.9374,2.363,0.057,10.86
pyramidkv,256,4096,,20,0.5417,0.3500,0.7375,0.0000,0.0000,2.980,0.0352,0.9365,2.252,0.046,8.41
pyramidkv,256,8192,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,2.994,0.0352,0.9687,4.914,0.157,10.98
pyramidkv,256,8192,,20,0.5292,0.3417,0.7167,0.0000,0.0000,2.994,0.0352,0.9685,4.704,0.113,8.53
snapkv,1024,16384,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.094,0.1406,0.9375,10.495,0.421,12.36
snapkv,1024,16384,,20,0.6458,0.4833,0.8000,0.0000,0.0000,3.094,0.1406,0.9373,10.376,0.276,8.83
snapkv,1024,2048,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,2.942,0.1406,0.4942,1.077,0.009,12.19
snapkv,1024,2048,,20,0.6375,0.4708,0.7958,0.0000,0.0000,2.937,0.1406,0.4824,1.056,0.013,10.18
snapkv,1024,32768,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.095,0.1406,0.9687,21.288,0.897,11.86
snapkv,1024,32768,,20,0.6000,0.4125,0.7750,0.0000,0.0000,3.095,0.1406,0.9687,21.123,0.499,8.02
snapkv,1024,4096,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.092,0.1406,0.7496,2.435,0.056,12.20
snapkv,1024,4096,,20,0.6042,0.4250,0.7750,0.0000,0.0000,3.082,0.1406,0.7462,2.367,0.055,8.62
snapkv,1024,8192,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.094,0.1406,0.8746,5.105,0.173,12.14
snapkv,1024,8192,,20,0.6333,0.4625,0.7958,0.0000,0.0000,3.094,0.1406,0.8739,5.065,0.119,8.29
snapkv,256,16384,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.007,0.0352,0.9844,9.793,0.366,12.19
snapkv,256,16384,,20,0.6667,0.5083,0.8042,0.0000,0.0000,3.007,0.0352,0.9843,9.775,0.374,11.93
snapkv,256,2048,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,2.942,0.0352,0.8735,1.102,0.036,11.98
snapkv,256,2048,,20,0.5958,0.4208,0.7750,0.0000,0.0000,2.937,0.0352,0.8706,1.056,0.009,11.94
snapkv,256,32768,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.007,0.0352,0.9922,19.753,0.786,12.04
snapkv,256,32768,,20,0.5750,0.3875,0.7625,0.0000,0.0000,3.007,0.0352,0.9922,19.724,0.789,11.93
snapkv,256,4096,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.001,0.0352,0.9374,2.330,0.059,12.16
snapkv,256,4096,,20,0.5750,0.3875,0.7625,0.0000,0.0000,2.990,0.0352,0.9365,2.287,0.058,12.20
snapkv,256,8192,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.007,0.0352,0.9687,4.789,0.159,12.25
snapkv,256,8192,,20,0.6667,0.5125,0.8042,0.0000,0.0000,3.007,0.0352,0.9685,4.791,0.163,12.08
streaming_llm,1024,16384,0.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,3.090,0.1406,0.9375,10.379,0.028,11.00
streaming_llm,1024,16384,,20,0.0250,0.0000,0.0750,0.0000,0.0000,3.090,0.1406,0.9373,10.309,0.028,11.46
streaming_llm,1024,2048,0.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,2.940,0.1406,0.4942,1.076,0.003,11.25
streaming_llm,1024,2048,,20,0.2417,0.1333,0.3667,0.0000,0.0000,2.934,0.1406,0.4824,1.053,0.003,11.39
streaming_llm,1024,32768,0.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,3.091,0.1406,0.9687,20.985,0.052,11.42
streaming_llm,1024,32768,,20,0.0125,0.0000,0.0375,0.0000,0.0000,3.091,0.1406,0.9687,20.983,0.055,11.55
streaming_llm,1024,4096,0.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,3.088,0.1406,0.7496,2.426,0.007,11.58
streaming_llm,1024,4096,,20,0.1042,0.0333,0.1792,0.0000,0.0000,3.079,0.1406,0.7462,2.378,0.007,11.69
streaming_llm,1024,8192,0.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,3.090,0.1406,0.8746,5.100,0.014,10.97
streaming_llm,1024,8192,,20,0.0500,0.0000,0.1250,0.0000,0.0000,3.090,0.1406,0.8739,5.029,0.013,11.52
streaming_llm,256,16384,0.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,3.005,0.0352,0.9844,9.408,0.063,6.20
streaming_llm,256,16384,,20,0.0250,0.0000,0.0750,0.0000,0.0000,3.005,0.0352,0.9843,9.687,0.030,11.28
streaming_llm,256,2048,0.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,2.941,0.0352,0.8735,8.543,0.017,6.36
streaming_llm,256,2048,,20,0.0708,0.0167,0.1417,0.0000,0.0000,2.934,0.0352,0.8706,1.093,0.006,8.11
streaming_llm,256,32768,0.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,3.005,0.0352,0.9922,19.006,0.130,6.27
streaming_llm,256,32768,,20,0.0875,0.0125,0.1750,0.0000,0.0000,3.005,0.0352,0.9922,19.516,0.072,9.40
streaming_llm,256,4096,0.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,2.999,0.0352,0.9374,2.324,0.016,5.98
streaming_llm,256,4096,,20,0.0375,0.0000,0.1000,0.0000,0.0000,2.988,0.0352,0.9365,2.350,0.013,8.42
streaming_llm,256,8192,0.5,4,0.0000,0.0000,0.0000,0.0000,0.0000,3.005,0.0352,0.9687,4.640,0.031,6.10
streaming_llm,256,8192,,20,0.0500,0.0000,0.1250,0.0000,0.0000,3.005,0.0352,0.9685,4.825,0.024,8.96
tova,1024,16384,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,3.094,0.1406,0.9375,10.796,0.132,5.58
tova,1024,16384,,20,0.6292,0.4542,0.7875,0.0000,0.0000,3.094,0.1406,0.9373,10.063,0.127,5.99
tova,1024,2048,0.5,4,1.0000,1.0000,1.0000,0.0000,0.0000,2.942,0.1406,0.4942,1.106,0.017,5.58
