policy,budget,context_length,count,score_mean,ci_low,ci_high,oom_rate,error_rate,peak_vram_gib,cache_gib,compression,prefill_s,compress_s,decode_tps
full,-1,16384,24,0.0417,0.0000,0.1250,0.9167,0.0833,5.194,2.2440,0.0000,67.235,0.001,1.09
full,-1,2048,24,0.6979,0.5486,0.8368,0.0000,0.0000,2.935,0.2730,0.0000,4.038,0.000,7.66
full,-1,32768,24,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,4096,24,0.6562,0.4896,0.8125,0.0000,0.0000,3.225,0.5554,0.0000,2.610,0.000,7.95
full,-1,8192,24,0.6458,0.4688,0.8125,0.0000,0.0000,3.861,1.1167,0.0000,6.055,0.000,6.90
pyramidkv,1024,16384,24,0.6910,0.5347,0.8368,0.0000,0.0000,3.103,0.1406,0.9373,10.285,0.229,7.34
pyramidkv,1024,2048,24,0.7188,0.5799,0.8472,0.0000,0.0000,2.938,0.1406,0.4844,1.042,0.021,6.84
pyramidkv,1024,32768,24,0.6771,0.5000,0.8438,0.0000,0.0000,3.103,0.1406,0.9687,20.940,0.379,6.27
pyramidkv,1024,4096,24,0.6528,0.4792,0.8125,0.0000,0.0000,3.089,0.1406,0.7467,2.373,0.046,8.38
pyramidkv,1024,8192,24,0.7361,0.6007,0.8611,0.0000,0.0000,3.103,0.1406,0.8741,5.052,0.124,8.44
pyramidkv,256,16384,24,0.6181,0.4514,0.7778,0.0000,0.0000,2.994,0.0352,0.9843,9.662,0.249,8.49
pyramidkv,256,2048,24,0.6597,0.4965,0.8229,0.0000,0.0000,2.938,0.0352,0.8711,1.044,0.016,8.61
pyramidkv,256,32768,24,0.5312,0.3438,0.7083,0.0000,0.0000,2.994,0.0352,0.9922,19.379,0.483,8.34
pyramidkv,256,4096,24,0.6181,0.4410,0.7847,0.0000,0.0000,2.982,0.0352,0.9367,2.270,0.048,8.82
pyramidkv,256,8192,24,0.6076,0.4306,0.7743,0.0000,0.0000,2.994,0.0352,0.9685,4.739,0.121,8.94
snapkv,1024,16384,24,0.7049,0.5625,0.8368,0.0000,0.0000,3.094,0.1406,0.9373,10.396,0.300,9.41
snapkv,1024,2048,24,0.6979,0.5486,0.8368,0.0000,0.0000,2.938,0.1406,0.4844,1.059,0.012,10.52
snapkv,1024,32768,24,0.6667,0.5000,0.8229,0.0000,0.0000,3.095,0.1406,0.9687,21.150,0.566,8.66
snapkv,1024,4096,24,0.6701,0.5069,0.8160,0.0000,0.0000,3.084,0.1406,0.7467,2.378,0.055,9.21
snapkv,1024,8192,24,0.6944,0.5382,0.8333,0.0000,0.0000,3.094,0.1406,0.8741,5.072,0.128,8.93
