policy,budget,task,count,score_mean,ci_low,ci_high,oom_rate,error_rate,peak_vram_gib,cache_gib,compression,prefill_s,compress_s,decode_tps
full,-1,cwe,20,0.0500,0.0000,0.1000,0.3500,0.0500,3.480,0.7676,0.0000,7.832,0.000,8.58
full,-1,niah_multikey_1,20,0.6000,0.4000,0.8000,0.4000,0.0000,3.347,0.6534,0.0000,3.151,0.000,6.46
full,-1,niah_multivalue,20,0.4500,0.3000,0.6000,0.4000,0.0000,3.349,0.6544,0.0000,3.123,0.000,6.41
full,-1,niah_single_1,20,0.6500,0.4500,0.8500,0.3500,0.0500,3.488,0.7765,0.0000,8.993,0.000,5.81
full,-1,niah_single_2,20,0.6000,0.4000,0.8000,0.4000,0.0000,3.345,0.6537,0.0000,8.926,0.000,6.35
full,-1,vt,20,0.1000,0.0250,0.1875,0.4000,0.0000,3.318,0.6299,0.0000,3.186,0.000,10.40
pyramidkv,1024,cwe,20,0.1333,0.0667,0.2000,0.0000,0.0000,3.065,0.1406,0.8007,7.757,0.125,5.92
pyramidkv,1024,niah_multikey_1,20,1.0000,1.0000,1.0000,0.0000,0.0000,3.070,0.1406,0.8047,8.160,0.144,6.69
pyramidkv,1024,niah_multivalue,20,0.7500,0.7500,0.7500,0.0000,0.0000,3.071,0.1406,0.8053,7.991,0.205,9.37
pyramidkv,1024,niah_single_1,20,1.0000,1.0000,1.0000,0.0000,0.0000,3.070,0.1406,0.8049,7.852,0.135,6.15
pyramidkv,1024,niah_single_2,20,1.0000,1.0000,1.0000,0.0000,0.0000,3.070,0.1406,0.8049,7.932,0.139,5.86
pyramidkv,1024,vt,20,0.2875,0.1625,0.4250,0.0000,0.0000,3.058,0.1406,0.7928,7.937,0.210,10.75
pyramidkv,256,cwe,20,0.0667,0.0167,0.1333,0.0000,0.0000,2.978,0.0352,0.9502,7.214,0.122,6.38
pyramidkv,256,niah_multikey_1,20,0.9500,0.8500,1.0000,0.0000,0.0000,2.982,0.0352,0.9512,7.565,0.232,10.49
pyramidkv,256,niah_multivalue,20,0.5500,0.4875,0.6000,0.0000,0.0000,2.984,0.0352,0.9513,7.251,0.121,6.39
pyramidkv,256,niah_single_1,20,1.0000,1.0000,1.0000,0.0000,0.0000,2.983,0.0352,0.9512,7.664,0.256,11.06
pyramidkv,256,niah_single_2,20,1.0000,1.0000,1.0000,0.0000,0.0000,2.983,0.0352,0.9512,7.682,0.247,11.14
pyramidkv,256,vt,20,0.0750,0.0000,0.1750,0.0000,0.0000,2.971,0.0352,0.9482,7.138,0.122,6.38
snapkv,1024,cwe,20,0.1333,0.0667,0.2000,0.0000,0.0000,3.059,0.1406,0.8007,7.920,0.180,6.43
snapkv,1024,niah_multikey_1,20,1.0000,1.0000,1.0000,0.0000,0.0000,3.063,0.1406,0.8047,8.002,0.138,7.15
snapkv,1024,niah_multivalue,20,0.7500,0.7500,0.7500,0.0000,0.0000,3.064,0.1406,0.8053,8.047,0.179,8.84
snapkv,1024,niah_single_1,20,1.0000,1.0000,1.0000,0.0000,0.0000,3.063,0.1406,0.8049,8.080,0.311,12.15
snapkv,1024,niah_single_2,20,1.0000,1.0000,1.0000,0.0000,0.0000,3.063,0.1406,0.8049,8.049,0.244,11.66
snapkv,1024,vt,20,0.2375,0.1375,0.3375,0.0000,0.0000,3.052,0.1406,0.7928,7.968,0.221,9.86
snapkv,256,cwe,20,0.0667,0.0167,0.1333,0.0000,0.0000,2.988,0.0352,0.9502,7.522,0.276,11.91
snapkv,256,niah_multikey_1,20,1.0000,1.0000,1.0000,0.0000,0.0000,2.993,0.0352,0.9512,7.555,0.281,12.02
snapkv,256,niah_multivalue,20,0.7500,0.7500,0.7500,0.0000,0.0000,2.993,0.0352,0.9513,7.557,0.280,12.09
snapkv,256,niah_single_1,20,1.0000,1.0000,1.0000,0.0000,0.0000,2.993,0.0352,0.9512,7.553,0.281,12.12
snapkv,256,niah_single_2,20,1.0000,1.0000,1.0000,0.0000,0.0000,2.993,0.0352,0.9512,7.559,0.276,11.84
snapkv,256,vt,20,0.2625,0.1625,0.3625,0.0000,0.0000,2.981,0.0352,0.9482,7.438,0.281,12.21
streaming_llm,1024,cwe,20,0.1333,0.0667,0.2000,0.0000,0.0000,3.056,0.1406,0.8007,7.903,0.020,12.24
streaming_llm,1024,niah_multikey_1,20,0.0000,0.0000,0.0000,0.0000,0.0000,3.060,0.1406,0.8047,8.014,0.022,10.83
streaming_llm,1024,niah_multivalue,20,0.0625,0.0000,0.1375,0.0000,0.0000,3.060,0.1406,0.8053,8.021,0.023,11.04
streaming_llm,1024,niah_single_1,20,0.0000,0.0000,0.0000,0.0000,0.0000,3.060,0.1406,0.8049,7.993,0.021,11.24
streaming_llm,1024,niah_single_2,20,0.0500,0.0000,0.1500,0.0000,0.0000,3.060,0.1406,0.8049,8.004,0.021,11.29
streaming_llm,1024,vt,20,0.1875,0.1000,0.2875,0.0000,0.0000,3.049,0.1406,0.7928,7.811,0.020,12.21
streaming_llm,256,cwe,20,0.0333,0.0000,0.0833,0.0000,0.0000,2.986,0.0352,0.9502,7.470,0.027,8.07
streaming_llm,256,niah_multikey_1,20,0.0000,0.0000,0.0000,0.0000,0.0000,2.991,0.0352,0.9512,7.776,0.032,10.54
streaming_llm,256,niah_multivalue,20,0.0000,0.0000,0.0000,0.0000,0.0000,2.991,0.0352,0.9513,7.442,0.035,7.49
streaming_llm,256,niah_single_1,20,0.0000,0.0000,0.0000,0.0000,0.0000,2.991,0.0352,0.9512,8.784,0.051,6.18
streaming_llm,256,niah_single_2,20,0.0000,0.0000,0.0000,0.0000,0.0000,2.991,0.0352,0.9512,7.426,0.030,8.13
streaming_llm,256,vt,20,0.2375,0.1375,0.3375,0.0000,0.0000,2.978,0.0352,0.9482,7.355,0.021,11.94
tova,1024,cwe,20,0.0667,0.0167,0.1333,0.0000,0.0000,3.059,0.1406,0.8007,7.730,0.096,6.38
tova,1024,niah_multikey_1,20,1.0000,1.0000,1.0000,0.0000,0.0000,3.063,0.1406,0.8047,7.662,0.100,6.02
tova,1024,niah_multivalue,20,0.7500,0.7500,0.7500,0.0000,0.0000,3.064,0.1406,0.8053,7.703,0.103,5.89
tova,1024,niah_single_1,20,1.0000,1.0000,1.0000,0.0000,0.0000,3.063,0.1406,0.8049,8.534,0.105,5.58
tova,1024,niah_single_2,20,0.9500,0.8500,1.0000,0.0000,0.0000,3.063,0.1406,0.8049,7.894,0.102,5.64
tova,1024,vt,20,0.2375,0.1375,0.3375,0.0000,0.0000,3.052,0.1406,0.7928,7.690,0.101,6.22
tova,256,cwe,20,0.0333,0.0000,0.0833,0.0000,0.0000,2.988,0.0352,0.9502,7.838,0.108,5.55
tova,256,niah_multikey_1,20,0.8000,0.6000,0.9500,0.0000,0.0000,2.993,0.0352,0.9512,7.378,0.119,8.58
tova,256,niah_multivalue,20,0.6125,0.5000,0.7000,0.0000,0.0000,2.993,0.0352,0.9513,7.531,0.103,5.85
tova,256,niah_single_1,20,1.0000,1.0000,1.0000,0.0000,0.0000,2.993,0.0352,0.9512,7.570,0.261,11.67
tova,256,niah_single_2,20,1.0000,1.0000,1.0000,0.0000,0.0000,2.993,0.0352,0.9512,7.593,0.269,11.53
tova,256,vt,20,0.1750,0.1000,0.2625,0.0000,0.0000,2.981,0.0352,0.9482,7.525,0.104,5.78
