policy,budget,context_length,depth,count,score_mean,ci_low,ci_high,oom_rate,error_rate,peak_vram_gib,cache_gib,compression,prefill_s,compress_s,decode_tps
full,-1,16384,0.0,3,0.3333,0.0000,1.0000,0.6667,0.3333,5.191,2.2424,0.0000,24.626,0.001,0.89
full,-1,16384,0.1,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,16384,0.25,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,16384,0.5,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,16384,0.75,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,16384,0.9,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,16384,1.0,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,2048,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.936,0.2747,0.0000,1.620,0.000,9.72
full,-1,2048,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.936,0.2747,0.0000,1.081,0.000,12.79
full,-1,2048,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.936,0.2747,0.0000,1.053,0.000,5.94
full,-1,2048,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.936,0.2747,0.0000,1.078,0.000,11.91
full,-1,2048,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.936,0.2747,0.0000,1.064,0.000,7.32
full,-1,2048,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.936,0.2747,0.0000,1.058,0.000,7.84
full,-1,2048,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.936,0.2747,0.0000,1.076,0.000,12.41
full,-1,32768,0.0,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,32768,0.1,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,32768,0.25,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,32768,0.5,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,32768,0.75,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,32768,0.9,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,32768,1.0,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,4096,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.225,0.5549,0.0000,2.581,0.000,6.03
full,-1,4096,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.225,0.5549,0.0000,2.420,0.000,6.38
full,-1,4096,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.225,0.5549,0.0000,2.381,0.000,6.31
full,-1,4096,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.225,0.5549,0.0000,2.400,0.000,6.26
full,-1,4096,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.225,0.5549,0.0000,2.415,0.000,6.11
full,-1,4096,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.225,0.5549,0.0000,2.421,0.001,6.38
full,-1,4096,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.225,0.5549,0.0000,2.413,0.000,6.31
full,-1,8192,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.868,1.1185,0.0000,5.985,0.000,6.29
full,-1,8192,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.867,1.1185,0.0000,5.961,0.001,5.96
full,-1,8192,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.867,1.1185,0.0000,6.067,0.001,6.33
full,-1,8192,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.867,1.1185,0.0000,6.226,0.000,8.09
full,-1,8192,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.867,1.1185,0.0000,6.214,0.000,8.05
full,-1,8192,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.867,1.1185,0.0000,6.256,0.000,8.18
full,-1,8192,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.867,1.1185,0.0000,6.242,0.000,8.09
pyramidkv,1024,16384,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9373,10.084,0.153,6.27
pyramidkv,1024,16384,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9373,10.125,0.153,6.24
pyramidkv,1024,16384,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9373,10.111,0.162,5.99
pyramidkv,1024,16384,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9373,10.093,0.146,5.97
pyramidkv,1024,16384,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9373,10.068,0.154,6.10
pyramidkv,1024,16384,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9373,10.234,0.177,6.10
pyramidkv,1024,16384,1.0,3,0.3333,0.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9373,10.141,0.151,6.11
pyramidkv,1024,2048,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.1406,0.4881,1.040,0.020,6.75
pyramidkv,1024,2048,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.1406,0.4881,1.048,0.020,5.92
pyramidkv,1024,2048,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.1406,0.4881,1.036,0.019,6.26
pyramidkv,1024,2048,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.1406,0.4881,1.022,0.021,5.86
pyramidkv,1024,2048,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.1406,0.4881,1.037,0.020,6.20
pyramidkv,1024,2048,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.1406,0.4881,1.033,0.020,6.01
pyramidkv,1024,2048,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.1406,0.4881,1.024,0.019,6.15
pyramidkv,1024,32768,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9687,21.541,0.700,12.22
pyramidkv,1024,32768,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9687,22.046,0.846,10.24
pyramidkv,1024,32768,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9687,20.745,0.344,5.61
pyramidkv,1024,32768,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9687,20.565,0.383,5.44
pyramidkv,1024,32768,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9687,20.866,0.353,5.57
pyramidkv,1024,32768,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9687,21.676,0.310,6.06
pyramidkv,1024,32768,1.0,3,0.3333,0.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9687,21.581,0.312,6.02
pyramidkv,1024,4096,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.085,0.1406,0.7466,2.315,0.040,6.28
pyramidkv,1024,4096,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.085,0.1406,0.7466,2.308,0.040,6.18
pyramidkv,1024,4096,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.085,0.1406,0.7466,2.305,0.039,6.15
pyramidkv,1024,4096,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.085,0.1406,0.7466,2.314,0.039,6.18
pyramidkv,1024,4096,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.085,0.1406,0.7466,2.321,0.038,6.19
pyramidkv,1024,4096,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.085,0.1406,0.7466,2.341,0.037,6.25
pyramidkv,1024,4096,1.0,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.085,0.1406,0.7466,2.312,0.047,5.92
pyramidkv,1024,8192,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.100,0.1406,0.8743,4.922,0.078,6.20
pyramidkv,1024,8192,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.100,0.1406,0.8743,4.890,0.076,6.20
pyramidkv,1024,8192,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.100,0.1406,0.8743,4.912,0.077,6.70
pyramidkv,1024,8192,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.100,0.1406,0.8743,4.892,0.076,6.12
pyramidkv,1024,8192,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.100,0.1406,0.8743,4.933,0.076,6.18
pyramidkv,1024,8192,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.100,0.1406,0.8743,4.936,0.077,5.85
pyramidkv,1024,8192,1.0,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.100,0.1406,0.8743,4.952,0.077,6.12
pyramidkv,256,16384,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9843,9.495,0.167,6.10
pyramidkv,256,16384,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9843,9.771,0.171,5.50
pyramidkv,256,16384,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9843,9.881,0.178,5.92
pyramidkv,256,16384,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9843,9.534,0.164,6.20
pyramidkv,256,16384,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9843,9.720,0.152,5.84
pyramidkv,256,16384,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9843,9.558,0.173,5.74
pyramidkv,256,16384,1.0,3,0.6667,0.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9843,9.625,0.159,6.18
pyramidkv,256,2048,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.0352,0.8720,1.128,0.024,5.37
pyramidkv,256,2048,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.0352,0.8720,1.064,0.020,6.49
pyramidkv,256,2048,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.0352,0.8720,1.039,0.019,6.14
pyramidkv,256,2048,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.0352,0.8720,1.032,0.019,6.13
pyramidkv,256,2048,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.0352,0.8720,1.040,0.019,6.22
pyramidkv,256,2048,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.0352,0.8720,1.034,0.021,6.14
pyramidkv,256,2048,1.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.0352,0.8720,1.031,0.019,6.00
pyramidkv,256,32768,0.0,3,0.6667,0.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9922,19.704,0.334,5.63
pyramidkv,256,32768,0.1,3,0.3333,0.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9922,19.485,0.380,5.96
pyramidkv,256,32768,0.25,3,0.3333,0.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9922,19.571,0.342,5.82
pyramidkv,256,32768,0.5,3,0.6667,0.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9922,19.992,0.305,6.50
pyramidkv,256,32768,0.75,3,0.6667,0.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9922,19.673,0.321,6.09
pyramidkv,256,32768,0.9,3,0.6667,0.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9922,19.000,0.314,6.32
pyramidkv,256,32768,1.0,3,0.6667,0.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9922,19.131,0.324,5.95
pyramidkv,256,4096,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.980,0.0352,0.9366,2.202,0.042,6.11
pyramidkv,256,4096,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.980,0.0352,0.9366,2.306,0.038,6.21
pyramidkv,256,4096,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.980,0.0352,0.9366,2.219,0.039,6.04
pyramidkv,256,4096,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.980,0.0352,0.9366,2.277,0.045,5.87
pyramidkv,256,4096,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.980,0.0352,0.9366,2.239,0.040,6.14
pyramidkv,256,4096,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.980,0.0352,0.9366,2.260,0.039,5.72
pyramidkv,256,4096,1.0,3,0.6667,0.0000,1.0000,0.0000,0.0000,2.980,0.0352,0.9366,2.255,0.050,5.77
pyramidkv,256,8192,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9686,4.733,0.080,6.10
pyramidkv,256,8192,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9686,4.646,0.078,6.05
pyramidkv,256,8192,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9686,4.644,0.078,5.89
pyramidkv,256,8192,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9686,4.626,0.079,6.19
pyramidkv,256,8192,0.75,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9686,4.643,0.079,6.16
pyramidkv,256,8192,0.9,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9686,4.643,0.079,5.89
pyramidkv,256,8192,1.0,3,0.6667,0.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9686,4.672,0.077,6.54
snapkv,1024,16384,0.0,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.9373,10.145,0.155,6.09
snapkv,1024,16384,0.1,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.9373,10.019,0.150,6.11
snapkv,1024,16384,0.25,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.9373,10.083,0.158,6.12
snapkv,1024,16384,0.5,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.9373,10.645,0.164,6.05
