policy,budget,context_length,count,score_mean,ci_low,ci_high,oom_rate,error_rate,peak_vram_gib,cache_gib,compression,prefill_s,compress_s,decode_tps
full,-1,16384,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,2048,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.936,0.2747,0.0000,1.076,0.000,12.41
full,-1,32768,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.000,0.0000,0.0000,0.000,0.000,0.00
full,-1,4096,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.225,0.5549,0.0000,2.413,0.000,6.31
full,-1,8192,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.867,1.1185,0.0000,6.242,0.000,8.09
pyramidkv,1024,16384,3,0.3333,0.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9373,10.141,0.151,6.11
pyramidkv,1024,2048,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.1406,0.4881,1.024,0.019,6.15
pyramidkv,1024,32768,3,0.3333,0.0000,1.0000,0.0000,0.0000,3.103,0.1406,0.9687,21.581,0.312,6.02
pyramidkv,1024,4096,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.085,0.1406,0.7466,2.312,0.047,5.92
pyramidkv,1024,8192,3,0.0000,0.0000,0.0000,0.0000,0.0000,3.100,0.1406,0.8743,4.952,0.077,6.12
pyramidkv,256,16384,3,0.6667,0.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9843,9.625,0.159,6.18
pyramidkv,256,2048,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.0352,0.8720,1.031,0.019,6.00
pyramidkv,256,32768,3,0.6667,0.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9922,19.131,0.324,5.95
pyramidkv,256,4096,3,0.6667,0.0000,1.0000,0.0000,0.0000,2.980,0.0352,0.9366,2.255,0.050,5.77
pyramidkv,256,8192,3,0.6667,0.0000,1.0000,0.0000,0.0000,2.990,0.0352,0.9686,4.672,0.077,6.54
snapkv,1024,16384,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.9373,10.310,0.166,6.02
snapkv,1024,2048,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.1406,0.4881,1.041,0.019,6.24
snapkv,1024,32768,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.9687,20.702,0.315,5.94
snapkv,1024,4096,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.082,0.1406,0.7466,2.325,0.038,6.22
snapkv,1024,8192,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.093,0.1406,0.8743,4.900,0.075,6.32
snapkv,256,16384,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9843,9.386,0.165,5.78
snapkv,256,2048,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.938,0.0352,0.8720,1.019,0.019,6.02
snapkv,256,32768,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9922,19.179,0.343,6.20
snapkv,256,4096,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.993,0.0352,0.9366,2.227,0.039,5.95
snapkv,256,8192,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.005,0.0352,0.9686,4.618,0.081,5.88
streaming_llm,1024,16384,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.089,0.1406,0.9373,10.493,0.026,11.13
streaming_llm,1024,2048,3,1.0000,1.0000,1.0000,0.0000,0.0000,2.936,0.1406,0.4881,1.076,0.003,11.56
streaming_llm,1024,32768,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.089,0.1406,0.9687,20.031,0.129,5.53
streaming_llm,1024,4096,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.079,0.1406,0.7466,2.428,0.007,11.42
streaming_llm,1024,8192,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.088,0.1406,0.8743,5.086,0.013,11.43
streaming_llm,256,16384,3,1.0000,1.0000,1.0000,0.0000,0.0000,3.003,0.0352,0.9843,9.814,0.026,11.20
